Name,Photo,Contact,Role,Institution,Institution Description,Festival Role,Attendance,Bio,Conversation Tip,Institution Link
Mario von Rickenbach,,,Conference contributor,CH,,Conference – Art & Industry Panel,Definitely,"Contributor to “Art & Industry Panel”: Mario von Rickenbach, Simon Christen and Sputniko! explore the intersections of animation, technology and society. From interactive games and Pixar’s character animation to speculative design and women’s health, they talk about creative processes, industry experiences and how ar…",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Mark Balzar,,,Artist / Contributor,"AT, US",,Project – Water Whisperer; Workshop – Water Whisperer,Definitely,"Contributor to “Water Whisperer”: What if AI didn’t give answers, but helped people have better conversations? Water Whisperer is an immersive installation where visitors encounter the voices of different waters and collectively explore the challenges, values, and futures of life with water.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Mark Vas,,,Artist / Contributor,IN,,Project – Co-Blauw,Probably,"Contributor to “Co-Blauw”: Co-Blauw is a live painting installation. Visitors paint by holding and guiding the brush-equipped robot arm to create Delft Blue style strokes. From this demonstration, the robot learns the painters’ personal style and reproduces it. The robot’s small mistakes are where new mot…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Marko Ilić,,,Artist / Participant,SI Slovenia,,Project – Parallel World,Probably,"Dr. Marko Ilić is a biologist specializing in animal physiology, who has focused on insect vision since his MA thesis. As part of a dynamic research team, he has studied the spectral and polarization vision of flies, beetles, butterflies and moths. His work has driven him to develop creative solutions for calibrated light conditions, sparking an interest in microcontrollers and programming.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Markos Kay,,,Artist / Contributor,"GB, CY",,Experience – Quantum Zoom – The First Chapter,Definitely,"Contributor to “Quantum Zoom – The First Chapter”: Quantum Zoom is a 3D stereoscopic immersive experience, where audiences will step into a vast, evolving system of nested realities. As they move deeper—from the visible world into microscopic and quantum domains—they will witness the flow of information as it self-organizes into…",Ask about their work in Experience and possible exchange or residency ideas with hosq in Armenia.,
Markus Stenger,,https://stenger2.de/,Networking host / guest,DE Germany,,Networking Event – Extended Reality – An Art Form in Public Space (on Trinity-Tarot-Garden),Definitely,"Markus Stenger is a Munich-based architect, managing partner of Stenger2 Architekten und Partner and a member of the BDA. In 2015 he founded S2Lab, a think space for architecture. His work centres on adaptive reuse and building culture, including KRAFTWERK Obersendling, the BERGSON Kunstkraftwerk and the 537-year-old timber house GASTGEB in Landshut, awarded the Bavarian Monument Protection Medal in 2022. He exhibited at the 15th Biennale di Venezia and lectures widely.",Use the networking moment to introduce hosq and ask about partnership frameworks.,https://stenger2.de/
Marlene Jungreithmayr,,https://it-u.at/de/persons/students/marlene-jungreithmayr/,Open Lab contributor,AT Austria,,Open Lab – Negotiating Knowledge: Trust in Science in the Digital Age; Project – Climate Agents: Negotiating Knowledge,Definitely,Marlene Jungreithmayr is a student researcher at the Geosocial AI group at IT:U. She holds a bachelor’s degree in Geography and is currently studying her master’s in Geoinformatics at the University of Salzburg. She is working on the Climate Agents Project and designs and holds workshops.,Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://it-u.at/de/persons/students/marlene-jungreithmayr/
Marlene Kloud,,https://www.instagram.com/marlene.cloud/,Exhibiting artist,AT Austria,,Exhibition – Gefesselte Sinne,Probably,"Marlene Kloud is a 17-year-old artist from Salzburg. She is currently attending the HTL for Graphic and Communication Design while pursuing her artistic practice. She has been passionate about art since childhood and has participated in various creative competitions. Her work has been exhibited publicly and awarded prizes on numerous occasions. Through her art, she explores socially critical themes such as democracy and the future.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Marta Salinas,,,Artist / Contributor,AR,,Project – Mío##,Probably,"Contributor to “Mío##”: Mío## is a live stream reimagined as a videogame, where the playable character is replaced by a real person wandering through a city.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Marta Zigante,,,Musician / Performer,IT,,Concert – MEDIUM SONORUM – Closing Concert,Definitely,"Contributor to “MEDIUM SONORUM – Closing Concert”: MEDIUM SONORUM presents a selection of recent multichannel works. Performed through the impressive Sonic Lab’s 20.4 loudspeaker system, the concert explores contemporary approaches to spatial composition in relation to the theme Audible Futures, Silent Decisions.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Marthe Trottnow,,https://mensch-maschine.org,Workshop leader,DE Germany,,Workshop – Character Lab: Digital Companions for a Festival of the Future,Definitely,"Marthe Trottnow (Bremen, Germany) is a graduate designer who has worked in exhibition design for over ten years, developing compelling narratives and spatial concepts for museums, memorial sites and experience worlds. Within the SynMM/Mensch-Maschine collective, she leads on concept development, storytelling and the facilitation of participatory design thinking formats.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,https://mensch-maschine.org
Martin Colov,,,Artist / Contributor,BG,,Project – Round Dance – Stories from the Countries of Plants,Probably,"Contributor to “Round Dance – Stories from the Countries of Plants”: Plants share an experience beyond human perception. Inspired by Stefano Mancuso’s The Nation of Plants, a playful manifesto for respectful coexistence, this work explores models of cohabitation adopted from botanical principles.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Martin Hochleitner,,,Artist / Participant,AT Austria,,Panel Discussion – From Collection to Connection; Experience – New Perspectives on Salzburg,Definitely,"Martin Hochleitner, born in 1970 in Salzburg. Classical archaeologist and art historian. University lecturer in Kiel, Vienna, Salzburg and Linz. From 2008 to 2017 University Professor of Art History and Art Theory at the University of Arts Linz. Since 2010 Honorary Professor at the Institute for Art Studies at the Catholic Private University Linz. Since 2012 Director of the Salzburg Museum. Research focus on the language of art, history of curating and photography. 2013 Austrian State Prize for Excellence in University Teaching. Lives and works in Salzburg.","Ask about their work in Experience, Panel Discussion and possible exchange or residency ideas with hosq in Armenia.",
Martin Koci,,https://ku-linz.at/theologie/institute/fundamentaltheologie_und_dogmatik/personen/356,Speaker,CZ Czechia,,Lecture & Talk – Robertina Šebjanič – Journal from the TARA expedition vessel: Echoes of the Abyss,Definitely,Martin Koci is assistant professor at the Institute for Fundamental Theology and Dogmatics at KU Linz. His research focuses on the theological turns in contemporary continental philosophy and Christianity in a postmodern context. He is the author of Christianity after Christendom: Heretical Perspectives in Philosophical Theology (Bloomsbury 2023). Martin lives with his wife and their three children in Vienna.,Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,https://ku-linz.at/theologie/institute/fundamentaltheologie_und_dogmatik/personen/356
Martin Rauchbauer,,https://www.linkedin.com/in/martinrauchbauer/?locale=en,Speaker,AT Austria,,Lecture & Talk – Strategic Autonomy — Quantum Science and the New Non-Alignment,Definitely,"Martin Rauchbauer is a senior Austrian diplomat with over 20 years of experience in international relations, cultural policy and diplomacy. As Austria's first Tech Ambassador in Silicon Valley, he helped shape the emerging field of tech diplomacy and worked to bring governments, civil society, and major technology companies into closer dialogue. He co-founded the Tech Diplomacy Network in Silicon Valley and worked on digital human rights, transatlantic digital policy and Digital Humanism.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,https://www.tech-diplomacy.org/
Martin Reinhart ),,,Artist / Contributor,AT,,Project – Common Fields,Probably,"Contributor to “Common Fields”: Common Fields is a participatory public installation that transforms a shared table into a field of collective imagination. Through playful encounters, open-ended prompts and a continuously evolving visual language inspired by crossword puzzles, visitors are invited to negotiate…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Martina Menegon,,https://www.instagram.com/martina.menegon/,Artist / Participant,IT Italy,,Project – Glitchaelia,Probably,"Martina Menegon (she/her, b. Italy, 1988) is an artist, educator and researcher based in Vienna. She is a senior artist and lecturer at the University of Applied Arts Vienna, and a PhD researcher in Transformation Studies: Art x Science (University of Applied Arts Vienna/JKU Linz). Her artistic practice spans transmedia, interactive, digital and Extended Reality art, exploring the mechanics of embodiment, the hybrid nature of the contemporary self and the poetics of the in-between.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://martinamenegon.xyz/
Martina Öttl,,,Artist / Contributor,AT,,Project – NOISE •• RAUSCHEN,Probably,"Contributor to “NOISE •• RAUSCHEN”: NOISE ·· RAUSCHEN explores states of sensory overload and fragmented perception through moving image, sound and textile.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Martyna Lorenc,,,Workshop leader,"PL, AT",,Workshop – Negotiating Democracy at the OpenDemocracyLab,Definitely,"Contributor to “Negotiating Democracy at the OpenDemocracyLab”: Our democracies and constitutions rest on foundations that were originally laid in a very different world. In this participatory workshop, IG Demokratie invites participants to explore the roots of the current crisis of democracy.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Mary Maggic,,https://www.instagram.com/marymaggic,Artist / Participant,"AT Austria, US United States",,Workshop – Pain: Interconnected with Nature; Project – P.A.I.N. (Personal And Interconnected with Nature),Definitely,"Mary Maggic is an artist, researcher and pedagogue whose practice revolves around workshopology as a shared process of knowledge production and care. These workshopologies center ecological crisis as the starting point for embodying our permeability and vulnerability, informed by the more-than-human. With this participatory practice, Maggic constantly seeks to dissolve the boundaries between the personal and the planetary, entering into new, de-colonial modalities of shared world-making.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,https://maggic.ooo/
Mary Mayrhofer,,,Exhibiting artist,AT Austria,,Open Lab – drag your world; Exhibition – Tug of War for the Future,Probably,"Mary Mayrhofer (b. 2002) spent her childhood in the Mühlviertel region before exchanging its rural idyllic surroundings for life in Linz. It was there that she discovered her deep interest in art, activism and people, and at a young age founded the non-profit organisation Charity Heroes Austria. In 2022, Mayrhofer received the Golden Nica in the u19—create your world category of the Prix Ars Electronica with The Black Blanket and has returned to the festival every year since. This year, the social worker and aspiring arts and ethics teacher curated the Youth Exchange Project for the second ti…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Maryana Steshenko,,,Artist / Contributor,UA,,Project – Sympoiesis,Probably,Contributor to “Sympoiesis”: Sympoiesis is a practice-based media art project exploring the body as a perceptual instrument.,Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
María Gómez Bellido,,,Artist / Contributor,ES,,Project – Human Variables,Probably,"Contributor to “Human Variables”: Human Variables explores big data in precision medicine through an endless stream of genetic data and a projected life story altered by visitor interaction. The work questions how human experience is translated into information, revealing tensions between personalization, quanti…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Masha Borzunova,,https://www.instagram.com/masha_borzo/,Panelist,DE Germany,,Panel Discussion – Weaponized Information - Disinformation as a Geopolitical Tool,Definitely,"Masha Borzunova is an award-winning freelance journalist based in Berlin. She currently works with the TV-channels ARTE and ZDF. After Russia’s invasion of Ukraine, Masha fled Russia and was later designated a “foreign agent” by the Russian government. She previously worked for Russia’s independent TV Rain, hosting a show exposing Kremlin disinformation. She continues to dissect Kremlin propaganda and produce reports on the evolving social landscape within wartime Russia.",Ask about their work in Panel Discussion and possible exchange or residency ideas with hosq in Armenia.,
Masha Illich,,,Musician / Performer,UA,,Project – Sound Campus (THU 10.9.); Concert – Face Shift,Definitely,"Contributor to “Sound Campus (THU 10.9.)”: Sound Campus – Listening Underground, explores the movement beneath the surface. It considers the ongoing, divergent processes which are felt but not always seen. To submerge opens up new modes of attention and multi-sensory listening that change our relation with the surroundin…",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Masha Zolotova,,,Exhibiting artist,"AT Austria, RU Russia",,Guided Tour – Expert Tour Negotiating Beyond Humanity: Masha Zolotova (EN); Guided Tour – Artist Walk Tour: Negotiating Beyond Humanity; Exhibition – Negotiating Beyond Humanity; Networking Event – The Next Chapter: Lessons Learned and Futures Beyond S+T+ARTS,Definitely,"Masha Zolotova is the Head of European Collaboration at Ars Electronica. Her interests lie in interdisciplinary and collaborative projects, particularly in how they open up new perspectives and intersect with ecological and social systems. She holds a joint Master's degree in Media Arts Cultures from Danube University Krems, Aalborg University, and the University of Łódź. Before joining Ars Electronica in 2022, she worked as a researcher and producer at various institutions including ZKM and Laboratoria Art&Science Foundation.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Matea Senkic,,,Open Lab contributor,HU,,Open Lab – Creativity as civic infrastructure: CCIs and digital commons,Definitely,"Contributor to “Creativity as civic infrastructure: CCIs and digital commons”: At Ars Electronica Festival in Linz, ekip’s final Policy Lab explores the topic of Creativity as civic infrastructure: CCIs and digital commons, asking how cultural and creative ecosystems can strengthen Europe’s digital commons and support more resilient, inclusive and particip…",Ask about their work in Open Lab and possible exchange or residency ideas with hosq in Armenia.,
Matheus Sperandio,,,Artist / Contributor,BR,,Project – A-fetus,Probably,Contributor to “A-fetus”: This installation explores the relationship between the biological and the technological through the creation of an “artificia” or cybernetic fetus that reacts to the approach or distancing of people in the installation.,Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Mathis Nitschke,,https://www.instagram.com/mathisnitschke/,Workshop leader,DE Germany,,Workshop – Who Decides the Music?,Definitely,"Mathis Nitschke is a composer, producer and founder of the innovation lab Sofilab. He studied classical guitar and fine arts and holds a composition degree from the Royal Conservatoire, The Hague. His work intertwines music, technology and space; with MAYA (2017) he staged the world's first mixed-reality music theatre. His current initiative CORPUS is building an ethical music data pool for Artificial Intelligence in which the musicians who contribute co-own the content rather than just supply it.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,https://mathis-nitschke.com
Matteo Holyoke Marangoni,,https://www.instagram.com/matteo_h_marangoni/,Artist / Participant,NL Netherlands,,Project – Komorebi; Project – Chorusing Symbionts,Probably,"Matteo Holyoke Marangoni combines music with visual art, theatre and new technologies. He develops robotic instruments and artificial creatures to create spaces in which sound is experienced with the whole body and the senses. His work draws inspiration from animal communication, bioacoustics and ecoacoustics, exploring how sound can mediate relationships between humans, machines and other life forms, and proposing embodied and ecological notions of intelligence, consciousness and subjecthood.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://matteomarangoni.com/
Matthew Gardiner,,https://www.instagram.com/oribotic,Networking host / guest,"AT Austria, AU Australia",,Networking Event – Futurelab Networking: Art Science Research,Definitely,"Matthew Gardiner’s artistic practice flows between digital and physical mediums, playing in the space in-between. Sometimes experiments lead to the digitalisation of material phenomena and sometimes to the fabrication and programming of materials. The intersections and emergent properties of the new object, field or device often reveal new inspirations and unexpected questions. Gardiner is Ars Electronica Futurelab’s Head of Art Science Research Strategies.",Use the networking moment to introduce hosq and ask about partnership frameworks.,https://matthewgardiner.net
Matthias Hauser,,,Networking host / guest,DE,,Networking Event – Town Hall Meeting: Art & Culture as Innovation Drivers in AI Infrastructures,Definitely,"Contributor to “Town Hall Meeting: Art & Culture as Innovation Drivers in AI Infrastructures”: This Town Hall brings together artists, HPC operators and cultural institutions for an open exchange on how artistic practice can become a recognized driver of innovation within AI networks.",Use the networking moment to introduce hosq and ask about partnership frameworks.,
Matvey Fridman,,,Networking host / guest,DE,,Networking Event – Town Hall Meeting: Art & Culture as Innovation Drivers in AI Infrastructures,Definitely,"Contributor to “Town Hall Meeting: Art & Culture as Innovation Drivers in AI Infrastructures”: This Town Hall brings together artists, HPC operators and cultural institutions for an open exchange on how artistic practice can become a recognized driver of innovation within AI networks.",Use the networking moment to introduce hosq and ask about partnership frameworks.,
Max Sabitzer,,https://www.instagram.com/maxsabitzer/,Artist / Participant,AT Austria,,Experience – Thousands of Wings; Project – CompactSun vol.3; Experience – Interplayful Environments Part II,Definitely,"Max Sabitzer, born in Vienna in 2001, combines digital technologies with ecology in his films, photography and installations. Having studied environmental management in Vienna, he is now living in Linz, where he is studying and working at the University of Art and Design. Intimate stories are found in natural, but also virtual landscapes and ultimately visualized through a variety of digital media.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://https://sabitzer.cargo.site/
Maximilian Bernhard,,,Musician / Performer,DE,,Project – Musikmaschine; Concert – Musikmaschine in concert,Definitely,Contributor to “Musikmaschine in concert”: The Musikmaschine is used by artists as an interactive instrument and performance platform. Unique sound experiences are created by combining traditional musical material with digital technologies.,Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Mayar Ahmed,,,Artist / Contributor,EG,,Project – Chromesthesia,Probably,"Contributor to “Chromesthesia”: Paint with color, hear the sound. Chromesthesia translates red, green, blue and yellow into live music through a camera and real-time detection via TouchDesigner and VCV Rack—designed for everyone, with accessibility features. Put on the headphones and let the colors play.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
mb21,,,Open Lab contributor,DE,,Open Lab – drag your world; Screening – drag your world. Youth Exchange Project Presentation,Definitely,"Contributor to “drag your world”: For the Youth Exchange Project, creative and socially engaged young people from different countries come to Linz to work together on a film project exploring the theme of identity.","Ask about their work in Open Lab, Screening and possible exchange or residency ideas with hosq in Armenia.",
Meister:innenschule für Kommunikationsdesign,,,Filmmaker / Screening contributor,AT,,Screening – Luminous Patterns,Definitely,"Contributor to “Luminous Patterns”: As part of the nextcomic festival, students from the MKD – Master School of Communication Design Linz designed the façade of the Ars Electronica Center. With the watchful gaze of large-scale eyes, pulsating data streams, and the question “Am I AI?”, they transformed the museum i…",Ask about their work in Screening and possible exchange or residency ideas with hosq in Armenia.,
Melanie Ennser,,,Exhibiting artist,AT,,Exhibition – Tug of War for the Future,Probably,"Contributor to “Tug of War for the Future”: This project brings together works by international students at the University of Arts Linz. Exploring progress and critique, hope and concern, the exhibition offers a space to reflect on the contradictions of our technological future.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Melina Trummer,,,Artist / Contributor,AT,,Project – Musikmaschine,Probably,Contributor to “Musikmaschine”: This students’ project combines traditional instruments with contemporary electronic music and interaction. It was first developed for the Cultural Capital of Heritage 2024 in Austria. The sound characteristics of old instruments are paired with new styles of playing.,Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Melinda File,,,Artist collective / Group,AT Austria,,Panel Discussion – Beyond Reconstruction: Digital Heritage and Cultural Resilience; Experience – Lost Legends,Definitely,"Melinda has been part of Ars Electronica for over 16 years and has worked with Deep Space 8K since its opening in 2009. As head of the Deep Space department, she creates engaging storylines and strives to ensure memorable visitor experiences. With over a decade of presenting and involvement in several successful productions, she aims to deliver meaningful content to audiences.","Ask about their work in Experience, Panel Discussion and possible exchange or residency ideas with hosq in Armenia.",
Melissa Papafio-Roberts,,,Artist / Contributor,DE,,Project – The Verification,Probably,"Contributor to “The Verification”: An immersive VR interrogation system that evaluates truth, morality and behavior through algorithmic scoring. Users experience how subjective decisions are reduced to data-driven judgments.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Mengke Ouyang,,,Artist / Contributor,CN,,Project – ASH BOAT,Probably,"Contributor to “ASH BOAT”: Inspired by Guangdong’s 49-day mourning rituals, ASH BOAT is an AIGC short film exploring grief and memory. It follows a girl mourning her grandmother while accompanied by an AI designed to “repair” her grief, questioning if human loss retains meaning when emotions become comput…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Meriç Öztürk,,,Artist / Contributor,TR,,Project – Musikmaschine,Probably,Contributor to “Musikmaschine”: This students’ project combines traditional instruments with contemporary electronic music and interaction. It was first developed for the Cultural Capital of Heritage 2024 in Austria. The sound characteristics of old instruments are paired with new styles of playing.,Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Mert Akbal,,https://www.instagram.com/mert.akbal/,Workshop leader,DE Germany,,Workshop – Fluidity of Images: Surrealist Juxtaposition and Image Mixing in Generative AI,Definitely,"Mert Akbal is a visual artist and academic who works at the crossroads of generative art, Artificial Intelligence and cognitive science. Through experimentation and speculative fiction, he probes a world in flux, creating animated paintings for the stage, the gallery and virtual spaces. Akbal’s work has been featured among others at the ISEA, LASER, ZKM, Mirage Festival, Musée-École de la Perrine, re:publica, Deutsche Oper, Rotterdam Opera Festival, Poetry Film Days Weimar and by the Interspecies Art World, Vienna.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,https://mertakbal.com/
Merve Sahin,,https://www.instagram.com/mervxshn,Artist / Participant,TR Turkey,,Experience – MERGING VISIONS; Panel Discussion – mozXR: Empowering Creative Minds in XR,Definitely,"Merve Şahin is an architect, researcher and digital artist based in Vienna. Her work explores the relationships between immersive media, ecological systems and the built environment. Through transmedia installations and real-time 3D environments, she examines how digital technologies shape the way we experience and understand urban spaces. Her practice expands architectural visualization to reveal the ecological, cultural, political and intangible dimensions of cities.","Ask about their work in Experience, Panel Discussion and possible exchange or residency ideas with hosq in Armenia.",https://mervesahin.me
Micah Prendergast,,,Artist / Contributor,US,,Project – Co-Blauw,Probably,"Contributor to “Co-Blauw”: Co-Blauw is a live painting installation. Visitors paint by holding and guiding the brush-equipped robot arm to create Delft Blue style strokes. From this demonstration, the robot learns the painters’ personal style and reproduces it. The robot’s small mistakes are where new mot…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Michael Csar,,,Speaker,AT,,Lecture & Talk – Renewable Hydrogen for resilient and emission-free Mobility Systems,Definitely,"Contributor to “Renewable Hydrogen for resilient and emission-free Mobility Systems”: Resilient mobility requires a sustainable energy source. Renewable hydrogen reduces dependence on fossil fuels and opens up new avenues for decarbonizing transportation, logistics and industrial applications.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Michael Heindl,,,Filmmaker / Screening contributor,AT,,Screening – Austrian Panorama,Definitely,"Contributor to “Austrian Panorama”: Austrian Panorama presents a selection of the most compelling Austrian works submitted to the Prix Ars Electronica 2026 in the New Animation Art category. Following the screening, participating filmmakers and artists will join the audience for a Q&A.",Ask about their work in Screening and possible exchange or residency ideas with hosq in Armenia.,
Michael Mondria,,,Panelist,,,"Panel Discussion – Panel Discussion: Hydrogen and the road ahead: perspectives from Art, Society and BMW",Definitely,"Contributor to “Panel Discussion: Hydrogen and the road ahead: perspectives from Art, Society and BMW”: Hydrogen is more than a technological question. This panel explores what it takes for society to accept new technologies—and how art can help make complex innovation more tangible, relatable and understandable.",Ask about their work in Panel Discussion and possible exchange or residency ideas with hosq in Armenia.,
Michael Wilhelm,,,Artist / Contributor,AT,,Experience – Quantum Zoom – The First Chapter,Definitely,"Contributor to “Quantum Zoom – The First Chapter”: Quantum Zoom is a 3D stereoscopic immersive experience, where audiences will step into a vast, evolving system of nested realities. As they move deeper—from the visible world into microscopic and quantum domains—they will witness the flow of information as it self-organizes into…",Ask about their work in Experience and possible exchange or residency ideas with hosq in Armenia.,
Michaela Kessler,,,Exhibiting artist,AT,,Exhibition – dieKUNSTSAMMLUNG | AUSGEZEICHNET,Probably,Contributor to “dieKUNSTSAMMLUNG | AUSGEZEICHNET”: The new exhibition AUSGEZEICHNET (DISTINGUISHED) at the KUNSTSAMMLUNG puts the spotlight on the recipients of the 2025 Culture Prizes and brings together works from the four artistic positions honored with the Talent Promotion Awards for Visual Art.,Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Michaela Konrad,,,Artist / Contributor,AT,,Project – parrots.partout,Probably,"Contributor to “parrots.partout”: The performance is an expression of female rage, where wailing voices and saxophones move through emotions together as an intermingling force.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Michal Hanousek,,,Artist / Contributor,CZ,,Project – Remote Twins,Probably,"Contributor to “Remote Twins”: Remote Twins is an installation connecting biodiversity monitoring with architecture for non-human actors. It consists of two parts: one in a natural environment, equipped with a camera detecting and identifying insects, and the other in the exhibition space, visualizing data co…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Michelle Schäffer,,,Artist / Contributor,DE,,Project – Which words have shaped you the most?,Probably,"Contributor to “Which words have shaped you the most?”: Every day, our consciousness is confronted with thousands of words. Some we do not even notice, while others stick in our minds and stay with us for years. We project what we think about ourselves and others. In a provocative way, this interactive sculpture aims to show, what li…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Mick Grierson,,,Conference contributor,UK,,Conference – Academic Session: Art Track #2 Authorship,Definitely,"Contributor to “Academic Session: Art Track #2 Authorship”: The Academic Session #2 Art Track: Authorship presents five contributions from the Expanded Conference Open Call that explore authorship, agency and creative control in expanded animation and interactive art.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Miguel Francisco,,,Performer,MX,,Performance – Parasomnia; Project – Sound Campus (THU 10.9.),Definitely,"Contributor to “Sound Campus (THU 10.9.)”: Sound Campus – Listening Underground, explores the movement beneath the surface. It considers the ongoing, divergent processes which are felt but not always seen. To submerge opens up new modes of attention and multi-sensory listening that change our relation with the surroundin…",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Mihaela Kavdanska,,https://www.instagram.com/atha.raum/,Musician / Performer,BG Bulgaria,,Project – Show Me Your Face: The Power of Becoming; Concert – Genome Sonification; Lecture & Talk – KEPLER SALON EXTRA EXTERN: SHOW ME YOUR FACE,Definitely,"Mihaela Kavdanska works as a media artist, researcher and cultural producer and is currently based in Austria. Since the late 1990s, she has created numerous personal and collaborative projects across media, performance and interactive art, often site-specific or participatory. With a primary focus on intermedia oneness (a term she herself coined) and, more recently, on contemplative practices from various disciplines, her work has been shown internationally, and has received various grants and awards.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,https://kavdanska.eu/
Mike Phillips,,https://www.mike-phillips.net,Workshop leader,GB United Kingdom,,"Workshop – Media Art Practice: collaborate, conserve, context and intentionality",Definitely,"Mike Phillips is an artist and researcher whose projects explore the ubiquity of data from an instrumentalized world. He is an active member of an international transdisciplinary community engaged in immersive, interactive and performative technologies. He is a founding partner of FullDome UK Festival, an Emeritus Professor at the University of Plymouth, Director of Research at http://i-dat.org/, a Principal Supervisor of the Planetary Collegium and Co-Director of the CODEX Postgraduate Research Network.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,https://www.mike-phillips.net
Milagros Miceli,,https://www.instagram.com/milagrosmiceli,Panelist,DE Germany,,Panel Discussion – Negotiating Humanity; Screening – Data Workers’ Inquiry,Definitely,"Dr. Milagros Miceli is Professor at the Universidad de San Martín, Director of the unit “Data, Algorithmic Systems and Ethics” at the Weizenbaum-Institut, Research Lead at DAIR and Principal Investigator of the Data Workers’ Inquiry project. She earned a PhD in Computer Science from the TU Berlin, a MA in Sociology from the Humboldt University and a BA from the University of the Arts Berlin. In 2025, she was named to TIME’s 100 Most Influential People in AI.","Ask about their work in Panel Discussion, Screening and possible exchange or residency ideas with hosq in Armenia.",https://milamiceli.com/
Milan Conic,,,Musician / Performer,RS,,Concert – Tarlan Eshtiagh; Concert – Milan Conic & Lotte Sandhacker; Concert – TiSHiNA (duo); Concert – Te-En Chen,Definitely,"Contributor to “Keys Beyond Boundaries”: Electronics meets improvized piano; dance, film and poetry at the C. Bechstein Piano Gallery. Featuring performances by Milan Conic and collaborators, the program explores new encounters between acoustic and electronic sound.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Miles Chanbai,,,Artist / Contributor,US,,Project – On the Manner,Probably,"Contributor to “On the Manner”: On the Manner connects a 17th century printmaking manual with penPal, a custom robotic drawing tool. Through a series of drawings and a hands-on demo, the project examines how artistic tools transform and transmit the cultural values embedded in their design.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
MIM collective,,,Artist collective / Group,"AT Austria, DE Germany, ES Spain",,Project – Common Fields,Probably,"MIM is an interdisciplinary artist collective founded by Martin Reinhart, Ivonne Gracia Murillo and Maximilian Gallo. Since 2017, they have collaborated on exhibitions, publications and artistic research projects, including Data Loam and the FWF-funded radical⇌matter. Their work combines artistic research, graphic design and architecture to create participatory formats that explore collective imagination, dialogue and shared meaning.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
